image_id,image_path,relative_path,original_label,class_label,exists,is_valid,width,height,mode,sha256,error,is_exact_duplicate,has_label_conflict
13357,data/raw/extracted/InfraredSolarModules/images/13357.jpg,images/13357.jpg,No-Anomaly,No-Anomaly,True,True,24,40,L,62b70eb796670020c42b1689447d1d5c8a29e3db337b26629b24269f88c051df,,False,False
13356,data/raw/extracted/InfraredSolarModules/images/13356.jpg,images/13356.jpg,No-Anomaly,No-Anomaly,True,True,24,40,L,c5269d5a0574bf831d4400939775c515db868d33616eea89fa9d04a452837639,,False,False
19719,data/raw/extracted/InfraredSolarModules/images/19719.jpg,images/19719.jpg,No-Anomaly,No-Anomaly,True,True,24,40,L,d3fe6fcf456cf92620714a6d8e18587fe2ac68969518ce3f5d68c5d94935624c,,False,False
11542,data/raw/extracted/InfraredSolarModules/images/11542.jpg,images/11542.jpg,No-Anomaly,No-Anomaly,True,True,24,40,L,b1ad030c579eac65c2df467009fadf646ec9297dff9215dcd0607fa8afc99ca4,,False,False
11543,data/raw/extracted/InfraredSolarModules/images/11543.jpg,images/11543.jpg,No-Anomaly,No-Anomaly,True,True,24,40,L,1ed057b89dab79474ec98b48a28dcb8e90f273e80fce5b426571e659892648b3,,False,False
11540,data/raw/extracted/InfraredSolarModules/images/11540.jpg,images/11540.jpg,No-Anomaly,No-Anomaly,True,True,24,40,L,df91ac5765aeaf364e61a3dc87e285a8c70ca07029a510d281d6fc4446de7646,,False,False
11541,data/raw/extracted/InfraredSolarModules/images/11541.jpg,images/11541.jpg,No-Anomaly,No-Anomaly,True,True,24,40,L,f6ecbbb6370802eb8d742dd487695994d30bb1dfd6dfe7f70c6c5faf1c7c0e4b,,False,False
11546,data/raw/extracted/InfraredSolarModules/images/11546.jpg,images/11546.jpg,No-Anomaly,No-Anomaly,True,True,24,40,L,36d02f0ad5965896720885ff948e8dc67c1f58d27083c9ca5e038e7f799e683b,,False,False
11547,data/raw/extracted/InfraredSolarModules/images/11547.jpg,images/11547.jpg,No-Anomaly,No-Anomaly,True,True,24,40,L,a4bae19c62670d5f496178b1482a2a6ae371821d15cf07ec4b425c6445bac6db,,False,False
11544,data/raw/extracted/InfraredSolarModules/images/11544.jpg,images/11544.jpg,No-Anomaly,No-Anomaly,True,True,24,40,L,c5d05def09aac4488e07a2ba1d15f49b9aa0d5a5f2c5b9d2fbd273c1d3c065fd,,False,False
11545,data/raw/extracted/InfraredSolarModules/images/11545.jpg,images/11545.jpg,No-Anomaly,No-Anomaly,True,True,24,40,L,27d6afbdcf74d5ff33222aff26700604ea4711941363e1614ac257c5d6ed10a8,,False,False
14545,data/raw/extracted/InfraredSolarModules/images/14545.jpg,images/14545.jpg,No-Anomaly,No-Anomaly,True,True,24,40,L,1eec813812765feefc61e68a4cd93b0e9c91c606fd6c121692a8ccae6f713398,,False,False
11548,data/raw/extracted/InfraredSolarModules/images/11548.jpg,images/11548.jpg,No-Anomaly,No-Anomaly,True,True,24,40,L,7f256991618449665a1a4ee923de4d752eeb377b7a39fd1ac4063dc887e52ea1,,False,False
11549,data/raw/extracted/InfraredSolarModules/images/11549.jpg,images/11549.jpg,No-Anomaly,No-Anomaly,True,True,24,40,L,2f08092e1979f1eed398ffd84dd2e056193b49964bf693591a5c4a30a30d3b56,,False,False
16426,data/raw/extracted/InfraredSolarModules/images/16426.jpg,images/16426.jpg,No-Anomaly,No-Anomaly,True,True,24,40,L,ccd70e06b45d80677dddae4fae55163f917004f111be7efecf3bcc34a498a471,,False,False
19927,data/raw/extracted/InfraredSolarModules/images/19927.jpg,images/19927.jpg,No-Anomaly,No-Anomaly,True,True,24,40,L,6d7f0f38e74b1125dd9cfcc664c33f30c7ddf4d0d5adb21b9c37fd105d4b89da,,False,False
5988,data/raw/extracted/InfraredSolarModules/images/5988.jpg,images/5988.jpg,Cell,Cell,True,True,24,40,L,e11e2357da57b0fd2fbb7b560bc121363d2a0aed104311e69ec9a13bed8171cd,,False,False
5989,data/raw/extracted/InfraredSolarModules/images/5989.jpg,images/5989.jpg,Cell,Cell,True,True,24,40,L,6ce2b728ef517659e58e735df2b610fe51c75b080d6f470501ceab2152d0bc67,,False,False
19399,data/raw/extracted/InfraredSolarModules/images/19399.jpg,images/19399.jpg,No-Anomaly,No-Anomaly,True,True,24,40,L,421c230cae5a55d44c2e3c84bec6de49f2812c2a756452498d79d20dacc3560f,,False,False
19398,data/raw/extracted/InfraredSolarModules/images/19398.jpg,images/19398.jpg,No-Anomaly,No-Anomaly,True,True,24,40,L,19136c80e241e8b03334b76d257a8b75221dbeb78853bf9b684f7873766e789b,,False,False
5982,data/raw/extracted/InfraredSolarModules/images/5982.jpg,images/5982.jpg,Cell,Cell,True,True,24,40,L,2cb7e28bd762bacc1481f01722ca379ca5180730505be0620b7b7d17499fec52,,False,False
