epoch,train_loss,train_accuracy,train_macro_f1,train_balanced_accuracy,validation_loss,validation_accuracy,validation_macro_f1,validation_balanced_accuracy,learning_rate,epoch_seconds
1,1.3518055677584484,0.4905579399141631,0.32854482565974413,0.39647846068453685,0.8655416972646726,0.6385180240320427,0.46666612856038875,0.5533023887028627,0.0001,52.32654679999905
2,0.7958997672293149,0.617381974248927,0.48241277545942823,0.5886842512738606,0.7106333517423459,0.6835781041388518,0.5524555084646047,0.6262344330663302,0.0001,50.80618870000035
3,0.6768199155429573,0.6489985693848355,0.5192866982945563,0.6307708564325726,0.5923145410215584,0.6815754339118825,0.5801193553281958,0.6681611589256801,0.0001,51.40209659999891
4,0.5520309705420454,0.6851216022889842,0.5722893524051251,0.6755004425077568,0.5868983352295706,0.6942590120160214,0.5913243832674487,0.6693984797990181,0.0001,51.75289490000068
5,0.4838067642182581,0.715379113018598,0.6097777481651493,0.7128187227821746,0.5459266431102447,0.729305740987984,0.6153566512642508,0.7087172569079453,0.0001,51.82759249999799
6,0.4405711378534464,0.7281831187410587,0.6254163715717319,0.7253221385284861,0.5343776617810946,0.7339786381842457,0.5988128266434285,0.6789843070327044,0.0001,51.70973859999867
7,0.3909267084707689,0.7456366237482117,0.6451437999501114,0.7447320185127522,0.5022672666647088,0.7646862483311081,0.6517210621029209,0.7015285988824119,0.0001,52.0600196000014
8,0.3712565341775168,0.7513590844062947,0.6586529502967137,0.7602933109331075,0.48275052406918384,0.7540053404539386,0.6517201378248778,0.7256238871597908,0.0001,51.80532549999771
9,0.31265752548311915,0.7765379113018598,0.6977840997201991,0.7863575813201372,0.4914534673671697,0.7740320427236315,0.6683230061219292,0.7205527971115521,0.0001,51.81417869999859
10,0.30171357792334497,0.7857653791130186,0.7046393179136352,0.793850101992878,0.5236104882766153,0.7653538050734312,0.6461602359965549,0.6977217218903192,0.0001,51.6669135000011
11,0.26481410168185937,0.8004291845493562,0.7296687188585421,0.8185408720747485,0.5218310675649681,0.7830440587449933,0.6562632308938273,0.6973534209814664,0.0001,51.75864939999883
12,0.24677003190155875,0.8158082975679543,0.7489899201655209,0.8294868533513227,0.5160208950055457,0.7730307076101469,0.6514095670057792,0.7144493062673486,0.0001,51.706138100002136
13,0.23289467800669744,0.8167381974248927,0.7449206844857382,0.8241523672449684,0.5105468854805497,0.7810413885180241,0.656137666413881,0.7183078675044894,0.0001,51.49232889999985
14,0.20484376903596696,0.8318311874105866,0.7730627414830646,0.8520998263177931,0.5206615002117106,0.8040720961281709,0.6737174529968734,0.712822940825126,0.0001,51.073368299999856
15,0.18685376859018218,0.8378397711015737,0.7837166160332957,0.8550074985476828,0.5931021103235049,0.7750333778371161,0.6357709628034119,0.6960575674969762,0.0001,51.469434999999066
16,0.17696766861433294,0.850143061516452,0.7998304460327335,0.863981027590964,0.547397369456705,0.7893858477970628,0.6605959850573683,0.7088527696656989,0.0001,51.426059299999906
17,0.1673266968299476,0.855722460658083,0.8038982304776335,0.8725256687884669,0.5900502009130766,0.8094125500667557,0.6796562746861845,0.7166728418587781,0.0001,51.174243900000874
