epoch,train_loss,train_accuracy,train_macro_f1,train_balanced_accuracy,validation_loss,validation_accuracy,validation_macro_f1,validation_balanced_accuracy,learning_rate,epoch_seconds
1,1.196793795740485,0.644206008583691,0.28942367489987303,0.28652478354801686,0.8166399350631062,0.7449933244325768,0.4242351724734046,0.40776668537683064,0.0001,45.974252100044396
2,0.8082955625776911,0.7470672389127325,0.48202343621356136,0.45145351394591143,0.7002619794596021,0.7837116154873164,0.5750118592458818,0.5461291726468173,0.0001,44.6009840000188
3,0.6863219746192637,0.7802575107296137,0.582311615580681,0.5450855664913726,0.6447506708121586,0.7893858477970628,0.6327503469261954,0.6382060643597656,0.0001,44.91974789998494
4,0.6029104589819055,0.8028612303290414,0.6486891585234128,0.6172062052016936,0.5735493461503206,0.8147530040053405,0.6659966612923635,0.6466589373143431,0.0001,46.43499769998016
5,0.544321194005456,0.8201716738197425,0.6725369290648238,0.6442458096225334,0.5412642870232642,0.8264352469959947,0.684700587090847,0.6734821648748718,0.0001,44.83785230002832
6,0.5007075947668078,0.8296137339055794,0.6928329267780996,0.6664660830691628,0.5270990246287652,0.8314419225634179,0.6942997416318718,0.6960686168008786,0.0001,44.86054859997239
7,0.4565936528391422,0.8428469241773963,0.7205770175555392,0.697293857102283,0.5301300589248876,0.8264352469959947,0.6894946274091355,0.6804337155151811,0.0001,44.83658810000634
8,0.4160045175550663,0.8590128755364806,0.7501479509490191,0.7281218605887144,0.5300548100105433,0.828437917222964,0.6925380693325849,0.6843240332857774,0.0001,45.04317700001411
9,0.3916701620484626,0.8663090128755365,0.757330285739798,0.7353217485792044,0.5296650310861412,0.8354472630173565,0.689993073962376,0.6733702543019137,0.0001,44.65033749997383
10,0.36387467061160117,0.8744635193133047,0.775374213333332,0.7587268274428668,0.5065438468083838,0.8464619492656876,0.7151717842183593,0.6927539632458789,0.0001,44.84217809996335
11,0.3327438847701437,0.884692417739628,0.797623318393398,0.7799394319973117,0.5043233560226629,0.8451268357810414,0.7247505941428439,0.708411517384718,0.0001,44.85236629995052
12,0.30964941511594174,0.888483547925608,0.8077384461305078,0.7908808635207049,0.5384890223854534,0.8371161548731643,0.7049552228059573,0.7031117878724705,0.0001,44.70660229999339
13,0.2802622308546893,0.9044349070100143,0.8302383307942812,0.8200011871481522,0.5269882616914003,0.842456608811749,0.7091582510083031,0.6983186049514064,0.0001,44.61290360003477
14,0.25637153585751854,0.9113018597997139,0.8437305828295659,0.8325630777887046,0.5713335229494225,0.842456608811749,0.7106705976187763,0.6951928986899768,0.0001,45.08860089996597
15,0.24101450504343397,0.9163090128755365,0.8608912694102092,0.8522631344752147,0.5651414372096552,0.8461281708945261,0.7163136581787816,0.6983343362684282,0.0001,44.710464800009504
16,0.22091383005842802,0.9206723891273247,0.8615156620417767,0.851833076313543,0.569085778397457,0.8494659546061415,0.7172930165940503,0.707209206345922,0.0001,44.69846389995655
17,0.19973375769132196,0.9290414878397711,0.8773838647269891,0.8716010393045628,0.5965993510626346,0.842456608811749,0.7114414057869317,0.7010581878864884,0.0001,45.0515859000152
18,0.18274394528719148,0.9351931330472103,0.8934233850105433,0.8848236002710257,0.5928739291803541,0.845460614152203,0.7177976652599694,0.7045703307736404,0.0001,45.15383030002704
19,0.1815696906335705,0.9378397711015737,0.8977013050098669,0.8908953689909661,0.6092578146422657,0.8381174899866488,0.7053238105965917,0.7021189621431393,0.0001,45.01827040000353
